Time,PL_A12,PL_B12,PL_B22,PL_B32,PL_B42,PL_B52,PL_C12,PL_C32,D_Building,CHP_1,CHP_2,CH,CWP,CT,AC,VM,EF,CHP_1F,CHP_P,Others,Total
7/1/24 0:15,5.305,0.281,0.037,4.942,4.540,4.063,3.121,1.88,20.324,17.525,7.872,73.892,22.403,12.566,15.654,0.095,2.39,0.699,5.021,155.218,357.828
7/1/24 0:30,5.311,0.269,0.037,4.933,4.570,4.074,3.136,1.886,20.37,17.545,7.921,74.459,22.424,12.578,15.698,0.094,2.391,0.698,5.02,155.248,358.662
7/1/24 0:45,5.310,0.220,0.036,4.932,4.533,4.066,3.134,1.892,20.362,17.548,7.551,72.358,22.419,12.587,15.628,0.094,2.391,0.697,5.022,154.883,355.663
7/1/24 1:00,5.300,0.211,0.037,4.934,4.537,4.059,3.117,1.878,20.114,17.529,7.639,73.339,22.412,12.428,15.616,0,2.389,0.697,5.02,157.038,358.294
7/1/24 1:15,5.303,0.209,0.037,4.934,4.506,4.057,3.112,1.879,20.295,17.538,7.591,73.719,22.444,12.754,15.671,0.095,2.39,0.697,5.021,153.379,355.631
7/1/24 1:30,5.299,0.225,0.037,4.939,4.504,4.052,3.113,1.876,20.069,17.569,7.326,72.541,22.413,12.592,15.655,0.093,2.39,0.697,5.023,153.475,353.888
7/1/24 1:45,5.299,0.239,0.037,4.942,4.505,4.052,3.108,1.88,20.221,17.543,7.399,72.968,22.421,12.425,15.607,0.094,2.393,0.697,5.026,154.735,355.591
7/1/24 2:00,5.307,0.214,0.037,4.935,4.550,4.058,3.11,1.879,20.038,17.568,7.364,72.862,22.436,12.786,15.641,0.101,2.394,0.698,5.019,155.61,356.607
7/1/24 2:15,5.307,0.212,0.036,4.937,4.553,4.062,3.121,1.881,20.057,17.577,7.27,72.474,22.453,12.627,15.694,0.099,2.394,0.697,5.024,155.692,356.167
7/1/24 2:30,5.308,0.210,0.037,4.933,4.528,4.056,3.124,1.88,20.041,17.558,7.305,72.656,22.433,12.608,15.625,0,2.389,0.697,5.034,154.878,355.3
7/1/24 2:45,5.308,0.211,0.037,4.931,4.547,4.058,3.131,1.882,20.027,17.566,7.009,70.548,22.414,12.575,15.61,0.097,2.392,0.698,5.029,153.876,351.946
7/1/24 3:00,5.314,0.212,0.037,4.933,4.526,4.062,3.141,1.88,20.144,17.572,7.114,71.662,22.425,12.426,15.676,0.098,2.394,0.697,5.028,157.657,356.998
7/1/24 3:15,5.310,0.281,0.037,4.937,4.546,4.061,3.142,1.88,20.022,17.587,6.876,70.703,22.413,12.747,15.662,0.095,2.394,0.697,5.026,154.993,353.409
7/1/24 3:30,5.308,0.270,0.036,4.943,4.572,4.055,3.134,1.882,20.076,17.569,6.89,70.742,21.477,12.597,15.61,0.097,2.39,0.697,5.028,155.599,352.972
7/1/24 3:45,5.314,0.220,0.036,4.945,4.540,4.060,3.128,1.882,20.192,17.602,6.734,70.208,23.371,12.62,15.629,0.095,2.394,0.698,5.029,156.181,354.878
7/1/24 4:00,5.315,0.214,0.037,4.944,4.546,4.062,3.132,1.883,20.143,17.577,6.616,69.452,22.438,12.617,15.696,0.041,2.392,0.697,5.032,155.306,352.14
7/1/24 4:15,5.317,0.209,0.036,4.944,4.522,4.050,3.133,1.883,20.034,17.598,6.598,70.2,22.446,12.616,15.627,0.052,2.39,0.697,5.031,155.227,352.61
7/1/24 4:30,5.318,0.226,0.036,4.936,4.521,4.057,3.128,1.886,20.11,17.601,6.504,69.055,21.512,12.606,15.617,0.093,2.394,0.698,5.022,158.987,354.307
7/1/24 4:45,5.316,0.240,0.036,4.938,4.522,4.061,3.127,1.885,20.03,17.597,6.475,69.542,23.377,12.612,15.659,0.095,2.39,0.698,5.028,152.292,349.92
7/1/24 5:00,5.309,0.215,0.037,4.935,4.555,4.060,3.132,1.883,19.952,17.579,6.448,68.928,22.435,12.604,15.679,0.095,2.391,2.114,5.026,156.109,353.486
7/1/24 5:15,5.316,0.213,0.036,4.932,4.562,4.062,3.14,1.881,19.975,17.596,6.438,68.865,22.429,12.621,15.587,0.092,2.392,2.737,5.017,156.318,354.209
7/1/24 5:30,5.309,0.211,0.036,4.944,4.529,4.054,3.137,1.883,19.938,17.578,6.254,67.758,22.447,12.477,15.593,0.092,2.393,2.837,5.022,163.395,359.887
7/1/24 5:45,5.312,0.211,0.036,4.938,4.548,4.057,3.121,1.879,19.933,17.594,6.441,91.241,22.454,10.191,15.635,0.001,2.395,0.923,5.024,173.02,388.954
7/1/24 6:00,5.313,0.213,0.037,4.944,4.516,4.061,3.115,1.88,20.165,17.602,6.353,107.483,22.424,10.913,15.606,0.092,2.394,0.699,5.024,172.067,404.901
7/1/24 6:15,5.307,0.279,0.036,13.950,4.533,4.051,3.117,1.88,20.476,17.575,6.342,98.79,22.431,15.027,15.584,0.098,2.395,0.698,5.021,176.769,414.359
7/1/24 6:30,5.299,0.267,0.037,37.665,4.557,4.053,15.032,1.879,20.498,17.58,6.098,90.919,22.449,14.487,15.615,0.099,2.394,0.697,5.019,176.478,441.122
7/1/24 6:45,5.297,0.217,0.036,26.205,4.518,4.047,16.086,1.875,20.448,17.6,6.01,90.722,22.455,10.408,15.683,0.096,2.393,0.698,5.007,173.259,423.06
7/1/24 7:00,5.296,0.108,0.036,18.641,4.524,4.045,9.249,1.929,20.394,17.595,6.26,97.312,22.429,10.146,15.611,0,2.391,0.698,5.021,174.577,416.262
7/1/24 7:15,5.296,0.311,0.038,16.892,4.497,4.046,7.831,1.971,21.299,17.569,6.424,100.459,22.405,11.776,15.59,0.095,2.389,0.696,5.021,176.871,421.476
7/1/24 7:30,5.302,0.225,0.037,16.174,4.503,4.041,7.511,1.973,22.707,17.558,7.231,104.244,21.488,15.021,15.612,0.089,2.391,0.696,5.019,178.863,430.685
7/1/24 7:45,5.296,0.239,0.037,15.772,4.500,4.040,7.356,1.975,22.468,17.544,7.753,102.831,23.354,15.02,15.627,0.091,2.39,0.697,5.01,184.015,436.015
7/1/24 8:00,5.301,0.216,0.040,15.778,4.575,4.157,7.273,1.973,23.463,17.548,7.899,102.224,22.412,15.255,15.627,0.089,2.399,0.7,5.012,187.888,439.829
7/1/24 8:15,5.301,0.216,0.037,16.220,4.662,4.406,7.444,2.152,39.329,17.525,8.371,105.508,22.426,15.11,16.94,0.093,2.413,0.726,5.02,202.392,476.291
7/1/24 8:30,5.279,0.215,0.036,16.198,4.631,4.373,7.427,2.254,36.844,17.513,8.896,110.894,22.447,15.073,18.27,0,2.412,0.715,5.003,198.721,477.201
7/1/24 8:45,5.289,0.218,0.039,16.241,4.618,4.390,7.129,2.302,35.757,17.528,9.428,114.498,21.511,15.041,18.994,0.091,2.42,0.705,5.009,197.337,478.545
7/1/24 9:00,5.282,0.217,0.049,16.095,4.535,4.291,7.304,2.354,27.709,17.525,9.581,114.314,23.346,15.023,18.981,0.092,2.409,0.719,5.007,194.407,469.24
7/1/24 9:15,5.277,0.287,0.050,15.759,4.730,4.388,7.241,2.134,38.456,17.521,9.774,113.618,22.419,15.013,18.609,0.092,2.412,0.744,5.004,193.437,476.965
7/1/24 9:30,5.281,0.274,0.038,15.145,4.597,4.329,7.248,2.129,42.519,17.543,9.811,113.788,22.439,15.025,18.527,0.091,2.416,0.738,5.011,197.571,484.52
7/1/24 9:45,5.277,0.223,0.036,15.151,4.538,4.494,7.533,2.152,40.913,17.515,9.837,114.452,22.415,14.967,19.143,0.101,2.412,0.736,5.012,198.395,485.302
7/1/24 10:00,5.277,0.217,0.036,15.716,4.541,4.412,7.489,2.143,40.671,17.537,10.142,116.458,22.439,14.963,18.82,0.006,2.425,0.736,5.013,196.275,485.316
7/1/24 10:15,5.290,0.217,0.048,15.904,4.372,4.389,7.488,2.17,41.997,17.526,10.527,118.113,22.43,14.956,19.107,0.093,2.417,0.737,5.01,195.913,488.704
7/1/24 10:30,5.317,0.230,0.039,16.229,4.282,4.433,7.538,2.271,44.098,17.523,10.846,119.393,22.44,14.929,18.306,0.096,2.419,0.735,5.026,197.446,493.596
7/1/24 10:45,5.312,0.248,0.036,16.512,4.218,4.697,7.472,2.263,39.195,17.531,11.171,119.727,22.424,14.912,18.953,0.096,2.427,2.119,5.033,200.092,494.438
7/1/24 11:00,5.311,0.225,0.036,16.611,4.188,4.830,7.502,2.272,36.513,17.529,11.591,121.065,22.417,14.904,20.349,0.094,2.431,2.758,5.041,199.421,495.088
7/1/24 11:15,5.309,0.219,0.036,16.650,4.228,5.203,7.521,2.293,37.226,17.543,11.972,120.845,22.422,14.913,19.445,0.093,2.449,2.967,5.046,199.576,495.956
7/1/24 11:30,5.308,0.219,0.037,16.599,4.126,5.209,7.508,2.315,37.009,17.543,12.409,122.178,21.466,14.911,18.489,0.093,2.455,1.856,5.038,195.897,490.665
7/1/24 11:45,5.316,0.220,0.036,16.595,4.136,4.395,7.492,2.326,36.963,17.536,12.854,125.437,23.314,17.788,18.355,0,2.423,0.739,5.041,194.382,495.348
7/1/24 12:00,5.323,0.221,0.037,16.641,4.115,4.595,7.51,2.343,37.332,17.546,13.08,124.565,22.365,20.424,18.107,0.092,2.432,0.756,5.052,195.87,498.406
