Time,PL_A12,PL_B12,PL_B22,PL_B32,PL_B42,PL_B52,PL_C12,PL_C32,D_Building,CHP_1,CHP_2,CH,CWP,CT,AC,VM,EF,CHP_1F,CHP_P,Others,Total
1/1/24 0:15,3.572,0.220,0.037,3.312,1.479,1.426,1.854,1.493,23.596,8.536,5.28,38.025,14.685,0.031,10.884,1.918,2.624,2.832,5.091,115.043,241.938
1/1/24 0:30,3.571,0.265,0.036,3.315,1.474,1.424,1.855,1.498,23.576,8.524,5.262,36.586,14.678,0.029,10.811,1.918,2.616,0.901,5.099,114.468,237.906
1/1/24 0:45,3.573,0.303,0.037,3.310,1.467,1.424,1.853,1.492,23.561,8.517,5.471,37.786,14.711,0.031,10.945,1.919,2.613,0.626,5.092,115.290,240.021
1/1/24 1:00,3.574,0.229,0.037,3.307,1.481,1.425,1.854,1.488,23.408,8.516,5.588,39.451,14.696,0.029,10.935,1.92,2.621,0.626,5.09,114.495,240.77
1/1/24 1:15,3.570,0.224,0.037,3.307,1.563,1.426,1.854,1.490,23.747,8.519,5.353,38.202,14.689,0.031,10.899,1.92,2.609,0.628,5.093,112.565,237.726
1/1/24 1:30,3.572,0.217,0.037,3.306,1.499,1.424,1.853,1.410,23.573,8.52,5.299,35.781,14.69,0.029,10.921,1.919,2.61,0.627,5.094,113.889,236.27
1/1/24 1:45,3.573,0.224,0.037,3.310,1.479,1.424,1.857,1.573,23.477,8.518,5.309,35.633,14.688,0.03,10.903,1.92,2.623,0.627,5.092,114.630,236.927
1/1/24 2:00,3.578,0.252,0.037,3.316,1.470,1.429,1.856,1.490,23.256,8.518,5.528,36.928,14.697,0.03,10.898,1.919,2.613,0.627,5.09,113.532,237.064
1/1/24 2:15,3.576,0.230,0.037,3.321,1.470,1.427,1.856,1.493,23.275,8.533,5.404,38.465,14.703,0.03,10.875,1.922,2.622,0.628,5.09,115.066,240.023
1/1/24 2:30,3.584,0.225,0.037,3.324,1.474,1.426,1.856,1.410,23.174,8.528,5.208,35.878,14.715,0.03,10.88,1.921,2.625,0.629,5.085,113.285,235.294
